pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
170.098,-78.48,0.0,top,R35,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100K,smt
170.128,-80.55,0.0,top,R36,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,14.3K,smt
170.078,-82.83,180.0,top,R37,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2.80K,smt
144.205,-83.125,90.0,top,R38,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470,smt
144.295,-79.025,-90.0,top,R39,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.6K,smt
103.02,-90.38,180.0,top,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10.0K,smt
99.55,-55.3,90.0,top,R40,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1K,smt
129.74,-54.7,-90.0,top,R41,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,510K,smt
131.97,-54.74,90.0,top,R42,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100K,smt
131.97,-58.66,-90.0,top,R43,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100K,smt
195.81,-44.925,180.0,top,R44,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,56R,smt
199.97,-47.245,0.0,top,R45,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,680R,smt
179.595,-52.255,90.0,top,R46,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
194.9,-63.8,0.0,top,R47,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,8K2,smt
185.03,-66.83,180.0,top,R48,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,7K5,smt
190.5,-63.74,180.0,top,R49,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4K7,smt
102.93,-95.46,0.0,top,R5,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10.0K,smt
223.2,-49.65,180.0,top,R50,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,300R,smt
215.0,-46.5,180.0,top,R51,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K2,smt
215.05,-44.4,180.0,top,R52,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K2,smt
210.35,-49.55,180.0,top,R53,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,820R,smt
219.05,-49.7,0.0,top,R54,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,820R,smt
206.2,-49.5,180.0,top,R55,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,300R,smt
79.65,-87.9,-90.0,top,R56,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
76.3625,-108.3625,180.0,top,R57,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4K7,smt
80.4725,-108.3825,180.0,top,R58,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,470R,smt
97.55,-118.95,0.0,top,R59,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4K7,smt
85.72,-79.41,0.0,top,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,47K,smt
93.99,-84.14,0.0,top,R7,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100K,smt
