Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,pn,Info,Volt,Sim.Device,Sim.Pins,Field6
R102,1,220,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,,,,,,
"R103, R6",2,47K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,5%,,,,
"R104, R105",2,91R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,Resistor,,,,,,
"R106, R107",2,20K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
"R108, R109",2,3K6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
R11,1,60.4K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,ARG05FTC6042,125mW Thin Film Resistor 100V ±25ppm/℃ ±1% 60.4kΩ 0805 Chip Resistor - Surface Mount ROHS,,,,
"R110, R12",2,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,5%,,,,
R111,1,10R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,,,,,
R13,1,1.65K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,FRC0805F1651TS,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 1.65kΩ 0805 Chip Resistor - Surface Mount ROHS,,,,
R14,1,2.15K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,PTFR0805B2K15P9,,,,,130mW Thin Film Resistor 150V ±25ppm/℃ ±0.1% 2.15kΩ 0805 Chip Resistor
R15,1,1.8K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,5%,,,,
R16,1,5.1K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,,,smt,Resistor,RT0603DRE075K1L,100mW Thin Film Resistor 75V ±0.5% ±50ppm/℃ 5.1kΩ 0603 Chip Resistor - Surface Mount ROHS,,,,
R17,1,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,5%,,,,
R18,1,320,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,,,smt,Resistor,RT0603DRE07320RL,100mW Thin Film Resistor ±0.5% ±50ppm/℃ 320Ω 0603 Chip Resistor - Surface Mount ROH,,,,
R19,1,12K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,5%,,,,
"R2, R25, R33, R35, R42, R43, R7",7,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,"[R33,R35,R42,R43,R7]5%; [R25]1%",,,,
R20,1,68K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,5%,,,,
R21,1,7.5K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,5%,,,,
"R22, R28",2,1.30K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,1%,,,,
"R23, R31",2,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,5%,,,,
"R24, R34",2,2.00K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,RT0805BRD072KL,125mW Thin Film Resistor ±25ppm/℃ ±0.1% 2kΩ 0805 Chip Resistor - Surface Mount ROHS,,,,
"R26, R38",2,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,5%,,,,
R27,1,182K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,1%,,,,
"R29, R37",2,2.80K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,1%,,,,
R3,1,13K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,5%,,,,
"R30, R36",2,14.3K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,,1%,,,,
